Name,Pinyin,Telecode,PinyinTriple,TMIS,Bureau,City,Type,TrainList
长治东,Changzhidong,CUF,CZD,38462,郑州局,长治市,"客,高","G695,G2405"
大同南,Datongnan,DMV,DTN,12182,太原局,大同市,"客,高","G2514,G695,G2405,D1049"
洪洞西,Hongtongxi,HTV,HDX,26487,太原局,临汾市,"客,高","G625,D1049"
侯马西,Houmaxi,HPV,HMX,26493,太原局,临汾市,"客,高","G625,G622"
晋城东,Jinchengdong,JGF,JCD,38468,郑州局,晋城市,"客,高","G695,G2405"
介休东,Jiexiudong,JDV,JXD,26481,太原局,晋中市,"客,高","G625,D1049,G622"
临汾西,Linfenxi,LXV,LFX,26489,太原局,临汾市,"客,高","G622"
灵石东,Lingshidong,UDV,LSD,26483,太原局,晋中市,"客,高","G622"
平遥古城,Pingyaogucheng,PDV,PYC,26479,太原局,晋中市,"客,高","G625"
闻喜西,Wenxixi,WOV,WXX,26495,太原局,运城市,"客,高","G623,D1049,G622"
忻州西,Xinzhouxi,IXV,XZX,26238,太原局,忻州市,"客,高","G2514,G695,G2405,D1049"
运城北,Yunchengbei,ABV,YCB,26497,太原局,运城市,"客,高","G623,G625,D1049,G622"
永济北,Yongjibei,AJV,YJB,26499,太原局,运城市,"客,高","G625"
阳泉北,Yangquanbei,YPP,YQB,26360,北京局,阳泉市,"客,高","K4588,K4586,G623,G622"
原平西,Yuanpingxi,IPV,YPX,26236,太原局,忻州市,"客,高","G695,G2405"
阳泉东,Yangquandong,AYP,YQD,26368,北京局,阳泉市,客,"K4588,K4586"
阳曲西,Yangquxi,IQV,YQX,26240,太原局,太原市,"客,高","G2514,G695,G2405"
长治南,Changzhinan,CAF,CZN,38464,郑州局,长治市,"客,高","G2405"
高平东,Gaopingdong,GVF,GPD,38466,郑州局,晋城市,"客,高","G695,G2405"
霍州东,Huozhoudong,HWV,HZD,26485,太原局,临汾市,"客,高","G625"
祁县东,Qixiandong,QGV,QXD,26477,太原局,晋中市,"客,高","D1049"
太谷西,Taiguxi,TIV,TGX,26475,太原局,晋中市,"客,高","G623,G622"
襄汾西,Xiangfenxi,XTV,XFX,26491,太原局,临汾市,"客,高","G623"
襄垣东,Xiangyuandong,EAF,XYD,38460,郑州局,长治市,"客,高","G695,G2405"
阳高南,Yanggaonan,AGV,YGN,12184,太原局,大同市,"客,高","G2514"
山阴南,Shanyinnan,OYV,SYN,27303,太原局,朔州市,"客,高","G2405"
朔州东,Shuozhoudong,OZV,SZD,27305,太原局,朔州市,"客,高","G2514,G695,G2405,D1049"
应县西,Yingxianxi,AAV,YXX,27302,太原局,朔州市,"客,高","D1049"
雁门关,Yanmenguan,RDV,YMG,27306,太原局,忻州市,"客,高","D1049"
